DeviceNo,ROM,RAM,ScreenSize,Colour,MainCamera,FrontCamera,Guarantee,BatteryHealth,ScreenScratchCondition,BodyScratchCondition,Price
1,64,4,6.1,3,12,12,2,3,1,2,12000
2,128,4,6.1,2,12,12,2,3,1,1,10700
3,128,4,6.1,0,12,12,2,0,1,1,11850
4,256,4,6.1,1,12,12,0,0,1,1,11000
5,64,4,6.1,0,12,12,1,2,2,2,10500
6,64,4,6.1,1,12,12,2,0,1,1,12000
7,256,4,6.1,1,12,12,1,2,1,3,14500
8,64,4,6.1,4,12,12,2,3,1,1,11499
9,64,4,6.1,3,12,12,0,0,1,2,9500
10,64,4,6.1,1,12,12,2,0,1,1,10500
11,64,4,6.1,0,12,12,0,2,1,3,9500
12,64,4,6.1,3,12,12,0,2,1,1,9000
13,64,4,6.1,0,12,12,1,3,1,1,10500
14,64,4,6.1,3,12,12,2,3,1,1,9250
15,64,4,6.1,1,12,12,0,0,1,1,10250
16,64,4,6.1,0,12,12,2,2,1,1,9250
17,64,4,6.1,2,12,12,2,2,1,2,9000
18,64,4,6.1,2,12,12,1,2,0,0,9550
19,64,4,6.1,1,12,12,2,0,1,0,9300
20,256,4,6.1,1,12,12,1,0,0,1,13000
21,64,4,6.1,0,12,12,1,0,0,1,9700
22,64,4,6.1,1,12,12,2,2,0,0,9800
23,64,4,6.1,0,12,12,1,0,1,1,9250
24,128,4,6.1,1,12,12,1,0,1,1,10100
25,128,4,6.1,1,12,12,1,2,1,1,9800
26,64,4,6.1,3,12,12,0,0,1,2,9300
27,64,4,6.1,0,12,12,2,2,0,1,9300
28,64,4,6.1,4,12,12,1,1,1,2,9250
29,128,4,6.1,4,12,12,1,0,1,0,9500
30,64,4,6.1,1,12,12,2,2,1,1,9750
31,64,4,6.1,0,12,12,2,1,1,0,9850
32,64,4,6.1,2,12,12,1,2,3,4,6800
33,64,4,6.1,0,12,12,1,0,2,1,7399
34,64,4,6.1,5,12,12,1,0,0,1,7799
35,64,4,6.1,2,12,12,1,2,3,1,9100
36,64,4,6.1,0,12,12,2,2,0,0,9300
37,64,4,6.1,1,12,12,1,1,1,1,9000
38,128,4,6.1,4,12,12,1,1,0,0,9700
39,64,4,6.1,1,12,12,2,2,0,0,9000
40,64,4,6.1,0,12,12,2,1,0,0,8700
41,64,4,6.1,2,12,12,1,2,3,2,6850
42,64,4,6.1,1,12,12,1,0,0,1,8500
43,64,4,6.1,5,12,12,0,0,0,1,8000
44,64,4,6.1,0,12,12,0,0,2,1,7399
45,64,4,6.1,0,12,12,0,0,0,1,8500
46,128,4,6.1,1,12,12,0,0,1,2,10599
47,64,4,6.1,1,12,12,0,0,2,3,6699
48,64,4,6.1,2,12,12,1,1,1,1,9350
49,64,4,6.1,1,12,12,2,1,2,3,7100
50,64,4,6.1,0,12,12,2,2,2,2,7600
51,128,4,6.1,0,12,12,2,2,0,1,10100
52,64,4,6.1,0,12,12,1,0,2,2,7300
